2022-06-24 15:46:31 [    INFO] 前置条件：传音统一登录开始 (conftest.py:11)
2022-06-24 15:46:34 [    INFO] 打开网页：http://10.250.112.166:9000/# (Basics.py:30)
2022-06-24 15:46:34 [    INFO] 查找元素：('xpath', "//div[@role='button']") (Basics.py:51)
2022-06-24 15:46:34 [    INFO] 点击元素：('xpath', "//div[@role='button']") (Basics.py:110)
2022-06-24 15:46:38 [    INFO] 查找元素：['xpath', "//*[contains(@id,'dropdown-menu-')]//li[1]"] (Basics.py:51)
2022-06-24 15:46:39 [    INFO] 查找元素：('xpath', "//div[@role='button']") (Basics.py:51)
2022-06-24 15:46:39 [    INFO] 点击元素：('xpath', "//div[@role='button']") (Basics.py:110)
2022-06-24 15:46:39 [    INFO] 查找元素：('id', 'tab-account') (Basics.py:51)
2022-06-24 15:46:39 [    INFO] 点击元素：('id', 'tab-account') (Basics.py:110)
2022-06-24 15:46:40 [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[1]/div/div[1]/input") (Basics.py:51)
2022-06-24 15:46:40 [    INFO] 输入文本：18650617 (Basics.py:72)
2022-06-24 15:46:42 [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[2]/div/div[1]/input") (Basics.py:51)
2022-06-24 15:46:42 [    INFO] 输入文本：xLily6x (Basics.py:72)
2022-06-24 15:46:43 [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (Basics.py:51)
2022-06-24 15:46:43 [    INFO] 获取状态：False (Basics.py:244)
2022-06-24 15:46:43 [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (Basics.py:51)
2022-06-24 15:46:43 [    INFO] 点击元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (Basics.py:110)
2022-06-24 15:46:43 [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/button") (Basics.py:51)
2022-06-24 15:46:43 [    INFO] 点击元素：('xpath', "//*[@id='pane-account']/form/button") (Basics.py:110)
2022-06-24 15:46:43 [ WARNING] 断言失败：URL为预期不一致 | URL: http://10.248.39.163:10101/#/c-login?lang=zh&source=SCM_DRP&type=simple&redirect=http%3A%2F%2F10.250.112.166%3A9000%2F%23%2F (assert_ui.py:142)
2022-06-24 15:46:43 [    INFO] 断言成功: 该内容存在数据列表中 | word:刘勇 (assert_ui.py:219)
2022-06-24 15:46:43 [    INFO] 前置条件：传音统一登录成功 (conftest.py:18)
2022-06-24 15:46:43 [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (Basics.py:51)
2022-06-24 15:46:46 [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (Basics.py:110)
2022-06-24 15:46:46 [    INFO] 查找元素：('xpath', '//span[contains(text(),"用户管理")]') (Basics.py:51)
2022-06-24 15:46:47 [    INFO] 点击元素：('xpath', '//span[contains(text(),"用户管理")]') (Basics.py:110)
2022-06-24 15:46:52 [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[1]/div/div/div/div/input') (Basics.py:51)
2022-06-24 15:46:52 [    INFO] 输入文本：刘勇 (Basics.py:81)
2022-06-24 15:46:56 [    INFO] 查找元素：['xpath', "//span[normalize-space()='刘勇']"] (Basics.py:51)
2022-06-24 15:46:57 [    INFO] 选择点击：['xpath', "//span[normalize-space()='刘勇']"] (Basics.py:107)
2022-06-24 15:46:57 [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span') (Basics.py:51)
2022-06-24 15:46:57 [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span') (Basics.py:110)
