INFO	2022-03-30 00:51:22,846	[nav.py:22]	['系统管理', '系统管理->用户管理']
INFO	2022-03-30 00:51:22,887	[webpage.py:103]	点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span')
INFO	2022-03-30 00:51:23,425	[webpage.py:103]	点击元素：('xpath', '//span[contains(text(),"用户管理")]')
INFO	2022-03-30 00:51:25,037	[webpage.py:74]	输入文本：88888888
INFO	2022-03-30 00:51:27,104	[webpage.py:99]	下拉选择：['xpath', "//span[normalize-space()='88888888']"]
INFO	2022-03-30 00:51:27,149	[webpage.py:103]	点击元素：('xpath', '//*[@id="app"]/div/div[2]/div[2]/section/div/div/form/div/div[3]/div/button[1]/span')
INFO	2022-03-30 00:51:28,254	[webpage.py:103]	点击元素：('xpath', "//button[@type='button']//span[contains(text(),'配置') or contains(text(),'编辑')]")
INFO	2022-03-30 00:51:28,303	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'组织')]"]
INFO	2022-03-30 00:51:28,537	[webpage.py:139]	清除权限：['xpath', "//div[@id='pane-1']//label[@class='el-checkbox is-checked']//span[@class='el-checkbox__inner']"]
INFO	2022-03-30 00:51:28,585	[webpage.py:117]	设置权限：['xpath', "//div[@id='pane-1']//span[@class='el-checkbox__label'][contains(text(),'itel事业部')]"]
INFO	2022-03-30 00:51:28,636	[webpage.py:117]	设置权限：['xpath', "//div[@id='pane-1']//span[@class='el-checkbox__label'][contains(text(),'东非地区部')]"]
INFO	2022-03-30 00:51:28,685	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'品牌')]"]
INFO	2022-03-30 00:51:28,834	[webpage.py:139]	清除权限：['xpath', "//div[@id='pane-2']//label[@class='el-checkbox is-checked']//span[@class='el-checkbox__inner']"]
INFO	2022-03-30 00:51:28,875	[webpage.py:117]	设置权限：['xpath', "//div[@id='pane-2']//span[@class='el-checkbox__label'][contains(text(),'Infinix')]"]
INFO	2022-03-30 00:51:28,944	[webpage.py:117]	设置权限：['xpath', "//div[@id='pane-2']//span[@class='el-checkbox__label'][contains(text(),'itel')]"]
INFO	2022-03-30 00:51:28,990	[webpage.py:117]	设置权限：['xpath', "//div[@id='pane-2']//span[@class='el-checkbox__label'][contains(text(),'TECNO')]"]
INFO	2022-03-30 00:51:29,067	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'区域')]"]
INFO	2022-03-30 00:51:29,107	[webpage.py:99]	下拉选择：['xpath', "//div[@id='pane-3']//div[@id='tab-Infinix']"]
INFO	2022-03-30 00:52:27,859	[webpage.py:85]	滚动条至：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'利比亚')]/preceding-sibling::label"]
INFO	2022-03-30 00:52:27,945	[webpage.py:99]	下拉选择：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'利比亚')]/preceding-sibling::label"]
INFO	2022-03-30 00:52:27,965	[webpage.py:85]	滚动条至：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'土耳其')]/preceding-sibling::label"]
INFO	2022-03-30 00:52:28,016	[webpage.py:99]	下拉选择：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'土耳其')]/preceding-sibling::label"]
INFO	2022-03-30 00:52:28,091	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'品牌')]"]
INFO	2022-03-30 00:52:28,189	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'区域')]"]
INFO	2022-03-30 00:52:28,233	[webpage.py:99]	下拉选择：['xpath', "//div[@id='pane-3']//div[@id='tab-itel']"]
INFO	2022-03-30 00:53:36,597	[webpage.py:85]	滚动条至：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'事业部备料')]/preceding-sibling::label"]
INFO	2022-03-30 00:53:36,665	[webpage.py:99]	下拉选择：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'事业部备料')]/preceding-sibling::label"]
INFO	2022-03-30 00:53:36,685	[webpage.py:85]	滚动条至：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'印度')]/preceding-sibling::label"]
INFO	2022-03-30 00:53:36,743	[webpage.py:99]	下拉选择：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'印度')]/preceding-sibling::label"]
INFO	2022-03-30 00:53:36,811	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'品牌')]"]
INFO	2022-03-30 00:53:36,891	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'区域')]"]
INFO	2022-03-30 00:53:36,948	[webpage.py:99]	下拉选择：['xpath', "//div[@id='pane-3']//div[@id='tab-TECNO']"]
INFO	2022-03-30 00:54:37,145	[webpage.py:85]	滚动条至：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'事业部备料')]/preceding-sibling::label"]
INFO	2022-03-30 00:54:37,208	[webpage.py:99]	下拉选择：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'事业部备料')]/preceding-sibling::label"]
INFO	2022-03-30 00:54:37,253	[webpage.py:85]	滚动条至：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'KH2')]/preceding-sibling::label"]
INFO	2022-03-30 00:54:37,305	[webpage.py:99]	下拉选择：['xpath', "//div[@role='group']//div[@role='group']//div[@role='group']//span[@class='el-tree-node__label'][contains(text(),'KH2')]/preceding-sibling::label"]
INFO	2022-03-30 00:54:37,365	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'品牌')]"]
INFO	2022-03-30 00:54:37,459	[webpage.py:117]	设置权限：['xpath', "//div[@class='el-tabs__nav is-left']//div[contains(text(),'区域')]"]
INFO	2022-03-30 00:54:37,513	[webpage.py:103]	点击元素：('xpath', "//div[@class='btnContainer']//span[contains(text(),'确定')]")
