[2022-07-27 18:50:18] [    INFO] 【SRM】项目【test】环境- UI自动化开始执行 (conftest.py:17)
[2022-07-27 18:50:19] [    INFO] 查找元素：('xpath', '//input[@id="elsAccount"]') (basics.py:107)
[2022-07-27 18:50:19] [    INFO] 输入文本：860000 (basics.py:138)
[2022-07-27 18:50:20] [    INFO] 查找元素：('xpath', '//input[@id="elsSubAccount"]') (basics.py:107)
[2022-07-27 18:50:20] [    INFO] 输入文本：1001 (basics.py:138)
[2022-07-27 18:50:21] [    INFO] 查找元素：('xpath', '//input[@type="password"]') (basics.py:107)
[2022-07-27 18:50:21] [    INFO] 输入文本：1qaz@WSX (basics.py:138)
[2022-07-27 18:50:21] [    INFO] 查找元素：('xpath', '//input[@id="identifyCode"]') (basics.py:107)
[2022-07-27 18:50:21] [    INFO] 点击元素：('xpath', '//input[@id="identifyCode"]') (basics.py:191)
[2022-07-27 18:50:25] [    INFO] 查找元素：('xpath', '//img[@id="code"]') (basics.py:107)
[2022-07-27 18:50:26] [    INFO] 查找元素：('xpath', '//input[@id="identifyCode"]') (basics.py:107)
[2022-07-27 18:50:26] [    INFO] 输入文本：3374 (basics.py:138)
[2022-07-27 18:50:26] [    INFO] 查找元素：('xpath', '//button[@id="submit_btn"]') (basics.py:107)
[2022-07-27 18:50:26] [    INFO] 点击元素：('xpath', '//button[@id="submit_btn"]') (basics.py:191)
[2022-07-27 18:50:27] [    INFO] 查找元素：('xpath', '//div[@id="supplierPerformanceAppraisal"]') (basics.py:107)
[2022-07-27 18:50:28] [    INFO] 点击元素：('xpath', '//div[@id="supplierPerformanceAppraisal"]') (basics.py:191)
